DocType: MAC Zone,Amended From,修订源
DocType: Make Serial NO,Batch,
apps/make/make/make/doctype/make_serial_no/make_serial_no_list.js +11,Batch Create,
DocType: Make Batch,Batch NO,
apps/make/make/make/doctype/make_batch/make_batch.py +13,Batch NO length must be six!,
DocType: Make Batch,Batch Name,
DocType: Device License Bundle,Bundle Name,批量名称
DocType: Device License Type,Capaciity Settings,
DocType: Device License Type,Cloud Data,
DocType: Device License Type,Cloud Remote Manage,
DocType: Device License Type,Cloud Virtual Port,
apps/make/make/make/doctype/make_batch/make_batch.js +14,Count of Serial NO,
apps/make/make/make/doctype/make_batch/make_batch.js +23,Create,创建
apps/make/make/make/doctype/make_batch/make_batch.js +9,Create Batch Serial NO,
DocType: MAC Zone,Current Address,
DocType: Device License Type,DS Channel,
DocType: DS Plugin,DS Plugin,
DocType: Device License Type,DS Plugin Limit,
DocType: Device License Type,DS Plugin List,
DocType: Device License Type,DS Plugin Settings,
DocType: Device License Type,Data Cache,
DocType: Device License Type,Description,描述
DocType: Device License Type,Device Count,
DocType: Device License,Device License,
DocType: Device License Bundle,Device License Bundle,
DocType: Device License BundleDevice,Device License BundleDevice,
DocType: Device License Settings,Device License Settings,
DocType: Device License Type,Device License Type,
DocType: Device License TypeDSPlugin,Device License TypeDSPlugin,
DocType: Device License TypeIOPlugin,Device License TypeIOPlugin,
apps/make/make/license/doctype/device_license_bundle/device_license_bundle.py +17,Device SN {0} is licensed by {1},设备{0}授权已经存在为{1}
DocType: Device License Bundle,Devices,设备列表
DocType: Device License Type,DsPlugin Count,
DocType: Device License Bundle,Enabled,启用
DocType: MAC Zone,End Address,
DocType: Device License,Expire Date,过期日期
DocType: Device License Type,Feature Settings,
DocType: Device License Type,GPRS Router,
apps/make/make/make/doctype/make_serial_no/make_serial_no.js +15,Get MAC,
DocType: Device License Type,History Data,
DocType: IO Plugin,IO Plugin,
DocType: Device License Type,IO Plugin Limit,
DocType: Device License Type,IO Plugin List,
DocType: Device License Type,IO Plugin Settings,
DocType: Device License Type,IO Tag Count,
DocType: Device License Bundle,Information,信息
DocType: Device License Type,IoPlugin Count,
DocType: Make Batch,Item,产品
DocType: Make Item,Item Name,产品名称
DocType: Device License Type,LEvent,
DocType: Device License,Licence Manager,
DocType: Device License,License,
DocType: Device License,License Data,授权数据
DocType: Device License,License Data Section,授权数据设定
DocType: Device License Settings,License Server IP,授权服务器IP
DocType: Make ItemMAC,MAC,
DocType: Make Item,MAC Count,
DocType: Make Serial NO,MAC Section,
DocType: MAC UseZone,MAC UseZone,
DocType: MAC Zone,MAC Zone,
apps/make/make/make/doctype/make_serial_no/make_serial_no.py +25,MAC Zone is empty!,
DocType: Make Item,MAC Zones,
DocType: MAC UseZone,Make,
DocType: Make Batch,Make Batch,
DocType: Make Item,Make Item,
DocType: Make ItemMAC,Make ItemMAC,
DocType: MAC Zone,Make Manager,
DocType: Make Serial NO,Make Serial NO,
DocType: MAC Zone,Make User,
DocType: Device License Type,OPC Client,
DocType: Device License Type,OPC Server,
DocType: Device License TypeDSPlugin,Plugin,
DocType: DS Plugin,Plugin Name,
DocType: Device License,SN,设备序列号
DocType: Device License Type,SWR Data,
DocType: Device License Type,SWR SMS,
DocType: Device License Type,Script Calc,
DocType: Make Batch,Serial Code,
DocType: Device License Type,Serial Count,
DocType: Device License,Source ID,源自ID
DocType: Device License,Source Settings,源自设定
DocType: Device License,Source Type,源自类型
DocType: MAC Zone,Start Address,
DocType: Device License Type,Trigger,
DocType: Device License,Type,类型
DocType: Device License Type,Type Name,类型名称
DocType: MAC UseZone,Zone,
DocType: MAC Zone,Zone Name,
DocType: Make Item,Zones,
